id,Pedigree,Range,Row,Rep,DTA (DAS),DTS  (DAS),PHT (in),FHT (in),EHT (in),Yield (t/ha),YieldMoist (t/ha)
CS17-G2FE-075,NILASQ4G41I08S2/LH123HT,5,271,1,68,69,97,76,49,10.64833119,11.29362006
CS17-G2FE-076,NILASQ4G41I04S3/LH123HT,5,273,1,68,69,96,76,50,11.22027213,11.87104791
CS17-G2FE-077,NILASQ4G41I10S2/LH123HT,5,275,1,68,69,103,79,46,10.72273001,11.3585879
CS17-G2FE-078,NILASQ4G41I06S3/LH123HT,5,277,1,68,69,97,83,49,10.32748628,10.91098926
CS17-G2FE-079,NILASQ4G41I05S3/LH123HT,5,279,1,68,69,108,78,52,11.82011262,12.48676697
CS17-G2FE-080,2369/LH123HT,5,281,1,68,68,96,76,49,10.74597965,11.34667991
CS17-G2FE-081,NILASQ4G41I03S2/LH123HT,5,283,1,67,69,96,76,43,9.667196748,10.23369448
CS17-G2FE-082,2369/LH123HT,5,285,1,67,69,98,70,46,9.620697485,10.19024278
CS17-G2FE-083,NILASQ4G41I01S2/LH123HT,5,287,1,68,69,102,77,48,10.91337699,11.55180955
CS17-G2FE-084,NILASQ4G41I12S3/LH123HT,5,289,1,67,69,102,80,46,11.08077434,11.71237848
CS17-G2FE-085,NILASQ4G61I01S2/LH123HT,5,291,1,67,68,98,77,48,9.978741809,10.54254072
CS17-G2FE-086,NILASQ4G61I03S3/LH123HT,5,293,1,71,69,102,81,51,11.13657345,11.74797134
CS17-G2FE-087,2369/LH123HT,5,295,1,68,69,102,80,46,10.70878024,11.29562139
CS17-G2FE-088,NILASQ4G61I02S3/LH123HT,5,297,1,68,69,97,78,49,10.89477729,11.48418474
CS17-G2FE-089,NILASQ4G61I06S3/LH123HT,5,299,1,68,69,97,83,47,10.39723517,10.96076532
CS17-G2FE-090,NILASQ4G61I09S2/LH123HT,5,301,1,69,69,102,82,47,10.66228097,11.22524941
CS17-G2FE-091,NILASQ4G61I10S3/LH123HT,5,303,1,68,70,101,75,50,10.59253208,11.15605479
CS17-G2FE-092,NILASQ4G61I08S2/LH123HT,5,305,1,71,69,100,76,51,11.14587331,11.73326083
CS17-G2FE-093,2369/LH123HT,5,307,1,70,69,99,75,51,10.93662662,11.48017697
