Barcode,Plot,Range,Row
CS17-G2FE-479,479,17,287
CS17-G2FE-480,480,17,289
CS17-G2FE-481,481,17,291
CS17-G2FE-482,482,17,293
CS17-G2FE-483,483,17,295
CS17-G2FE-484,484,17,297
CS17-G2FE-485,485,17,299
CS17-G2FE-486,486,17,301
CS17-G2FE-487,487,17,303
CS17-G2FE-488,488,17,305
CS17-G2FE-489,489,17,307
CS17-G2FE-490,490,17,309
CS17-G2FE-491,491,17,311
CS17-G2FE-492,492,17,313
CS17-G2FE-493,493,17,315
CS17-G2FE-494,494,17,317
CS17-G2FE-495,495,17,319
CS17-G2FE-496,496,18,319
CS17-G2FE-497,497,18,317
CS17-G2FE-498,498,18,315
CS17-G2FE-499,499,18,313
CS17-G2FE-500,500,18,311
CS17-G2FE-501,501,18,309
CS17-G2FE-502,502,18,307
CS17-G2FE-503,503,18,305
CS17-G2FE-504,504,18,303
CS17-G2FE-505,505,18,301
CS17-G2FE-506,506,18,299
CS17-G2FE-507,507,18,297
CS17-G2FE-508,508,18,295
CS17-G2FE-509,509,18,293
CS17-G2FE-510,510,18,291
CS17-G2FE-511,511,18,289
CS17-G2FE-512,512,18,287
CS17-G2FE-513,513,18,285
CS17-G2FE-514,514,18,283
CS17-G2FE-515,515,18,281
CS17-G2FE-516,516,18,279
CS17-G2FE-517,517,18,277
CS17-G2FE-518,518,18,275
CS17-G2FE-519,519,18,273
CS17-G2FE-520,520,18,271
CS17-G2FE-521,521,18,269
CS17-G2FE-522,522,18,267
CS17-G2FE-523,523,18,265
CS17-G2FE-524,524,18,263
CS17-G2FE-525,525,18,261
CS17-G2FE-526,526,18,259
CS17-G2FE-527,527,18,257
CS17-G2FE-528,528,18,255
CS17-G2FE-529,529,19,255
CS17-G2FE-530,530,19,257
CS17-G2FE-531,531,19,259
CS17-G2FE-532,532,19,261
CS17-G2FE-533,533,19,263
CS17-G2FE-534,534,19,265
CS17-G2FE-535,535,19,267
CS17-G2FE-536,536,19,269
CS17-G2FE-537,537,19,271
CS17-G2FE-538,538,19,273
CS17-G2FE-539,539,19,275
CS17-G2FE-540,540,19,277
CS17-G2FE-541,541,19,279
CS17-G2FE-542,542,19,281
CS17-G2FE-543,543,19,283
CS17-G2FE-544,544,19,285
CS17-G2FE-545,545,19,287
CS17-G2FE-546,546,19,289
CS17-G2FE-547,547,19,291
CS17-G2FE-548,548,19,293
CS17-G2FE-549,549,19,295
CS17-G2FE-550,550,19,297
CS17-G2FE-551,551,19,299
CS17-G2FE-552,552,19,301
CS17-G2FE-553,553,19,303
CS17-G2FE-554,554,19,305
CS17-G2FE-555,555,19,307
CS17-G2FE-556,556,19,309
CS17-G2FE-557,557,19,311
CS17-G2FE-558,558,19,313
CS17-G2FE-559,559,19,315
CS17-G2FE-560,560,19,317
CS17-G2FE-561,561,19,319
CS17-G2FE-562,562,20,319
CS17-G2FE-563,563,20,317
CS17-G2FE-564,564,20,315
CS17-G2FE-565,565,20,313
CS17-G2FE-566,566,20,311
CS17-G2FE-567,567,20,309
CS17-G2FE-568,568,20,307
CS17-G2FE-569,569,20,305
CS17-G2FE-570,570,20,303
CS17-G2FE-571,571,20,301
CS17-G2FE-572,572,20,299
CS17-G2FE-573,573,20,297
CS17-G2FE-574,574,20,295
CS17-G2FE-575,575,20,293
CS17-G2FE-576,576,20,291
CS17-G2FE-577,577,20,289
CS17-G2FE-578,578,20,287
CS17-G2FE-579,579,20,285
CS17-G2FE-580,580,20,283
CS17-G2FE-581,581,20,281
CS17-G2FE-582,582,20,279
CS17-G2FE-583,583,20,277
CS17-G2FE-584,584,20,275
CS17-G2FE-585,585,20,273
CS17-G2FE-586,586,20,271
CS17-G2FE-587,587,20,269
CS17-G2FE-588,588,20,267
CS17-G2FE-589,589,20,265
CS17-G2FE-590,590,20,263
CS17-G2FE-591,591,20,261
CS17-G2FE-592,592,20,259
CS17-G2FE-593,593,20,257
CS17-G2FE-594,594,20,255
